generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.8710914§2.4914534§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7]))§674§0.16585748
2§2.7299936§2.4361463§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7]))§843§0.17018324
5§2.5653841§2.4348276§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7, 17]))§1347§0.18208069
9§2.5212872§2.4314377§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([6]))§2022§0.19741766
10§2.517343§2.4062998§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([]))§2193§0.2014139
12§2.5088253§2.402353§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([13, 6]))§2534§0.20985934
14§2.4900706§2.396996§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.8672816, 0.66623825)], includedObstacleCornersIndices=set([]))§2875§0.21900503
18§2.4649763§2.391375§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.8672816, 0.66623825), (0.14995065, 0.33265412), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([]))§3558§0.2395961
26§2.4368684§2.3893733§Chromosome(steinerPoints=[(0.8672816, 0.66623825), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.14995065, 0.33265412), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([]))§4918§0.28569654
36§2.4312243§2.388603§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.8672816, 0.66623825), (0.54458016, 0.72617155), (0.49693203, 0.8248326)], includedObstacleCornersIndices=set([6]))§6637§0.3529182
167§2.4256375§2.3849766§Chromosome(steinerPoints=[(0.54458016, 0.72617155), (0.5046899, 0.8362386), (0.49693203, 0.8248326), (0.14995065, 0.33265412), (0.8869698, 0.698084)], includedObstacleCornersIndices=set([]))§30817§1.3410441
588§2.4054346§2.382017§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.54458016, 0.72617155), (0.49693203, 0.8248326), (0.8743916, 0.68281996)], includedObstacleCornersIndices=set([]))§124603§4.3194904
598§2.402989§2.3816664§Chromosome(steinerPoints=[(0.8869698, 0.698084), (0.8743916, 0.68281996), (0.49693203, 0.8248326), (0.54458016, 0.72617155), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([]))§126930§4.3920946
812§2.4039714§2.379874§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.14995065, 0.33265412), (0.5251936, 0.7118422), (0.8869698, 0.698084), (0.8743916, 0.68281996), (0.4845485, 0.8085158)], includedObstacleCornersIndices=set([]))§176706§6.1777763
861§2.3957224§2.3771431§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.5251936, 0.7118422), (0.4845485, 0.8085158), (0.14995065, 0.33265412), (0.8743916, 0.68281996), (0.8711206, 0.6869386)], includedObstacleCornersIndices=set([]))§188040§6.6272144
875§2.3929005§2.376731§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.4845485, 0.8085158), (0.8711206, 0.6869386), (0.49693203, 0.8248326), (0.5251936, 0.7118422), (0.82920307, 0.6934479)], includedObstacleCornersIndices=set([]))§191286§6.757879
881§2.395347§2.3764706§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.5251936, 0.7118422), (0.4845485, 0.8085158), (0.14995065, 0.33265412), (0.8711206, 0.6869386)], includedObstacleCornersIndices=set([]))§192670§6.81349
991§2.3920388§2.3761718§Chromosome(steinerPoints=[(0.87703717, 0.6583748), (0.5251936, 0.7118422), (0.4845485, 0.8085158), (0.4585429, 0.811941), (0.8711206, 0.6869386), (0.16995066, 0.33265412)], includedObstacleCornersIndices=set([]))§218301§7.8054814
1492§2.3920524§2.3761718§Chromosome(steinerPoints=[(0.8711206, 0.6869386), (0.87703717, 0.6583748), (0.4845485, 0.8085158), (0.4585429, 0.811941), (0.5251936, 0.7118422), (0.16995066, 0.33265412)], includedObstacleCornersIndices=set([]))§334634§11.889532
