generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§4160001300§10.144281§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§0.41531393
6§339999970§10.132978§Chromosome(steinerPoints=[(4.8327646, 3.608791)], includedObstacleCornersIndices=set([]))§1519§0.4309126
83§160000020§10.118978§Chromosome(steinerPoints=[(5.1582766, 5.7506895)], includedObstacleCornersIndices=set([]))§15057§0.5230334
584§140000020§10.118978§Chromosome(steinerPoints=[(5.1582766, 5.7506895)], includedObstacleCornersIndices=set([]))§123456§1.1859179
