generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3100000800§10.132978§Chromosome(steinerPoints=[(4.8327646, 3.608791)], includedObstacleCornersIndices=set([]))§673§0.46860585
20§359999970§10.131682§Chromosome(steinerPoints=[(6.5941234, 2.737261)], includedObstacleCornersIndices=set([]))§3886§0.49626228
25§300000000§10.113726§Chromosome(steinerPoints=[(5.1672354, 3.608791), (6.5941234, 2.737261)], includedObstacleCornersIndices=set([]))§4735§0.50328285
64§340000000§10.110338§Chromosome(steinerPoints=[(5.166972, 3.5927794), (6.5941234, 2.737261), (5.0719895, 5.595686)], includedObstacleCornersIndices=set([]))§11540§0.5747164
98§320000030§10.099186§Chromosome(steinerPoints=[(5.166972, 3.5927794), (6.5941234, 2.737261), (5.1555905, 3.5987303), (5.1050673, 6.1349807)], includedObstacleCornersIndices=set([]))§17723§0.65886086
107§439999900§10.094342§Chromosome(steinerPoints=[(5.166972, 3.5927794), (6.5941234, 2.737261), (5.1555905, 3.5987303), (5.1880503, 5.719549)], includedObstacleCornersIndices=set([]))§19401§0.68356407
146§220000020§10.091549§Chromosome(steinerPoints=[(6.5941234, 2.737261), (5.1880503, 5.719549), (5.1555905, 3.5987303), (4.147393, 2.9800382)], includedObstacleCornersIndices=set([]))§26784§0.787539
261§140000020§10.082476§Chromosome(steinerPoints=[(6.5941234, 2.737261), (5.1880503, 5.719549), (5.1555905, 3.5987303), (5.155477, 3.5876515), (3.0924706, 2.6042817)], includedObstacleCornersIndices=set([]))§49873§1.1672109
509§240000020§10.081453§Chromosome(steinerPoints=[(5.1880503, 5.719549), (5.1555905, 3.5987303), (5.155477, 3.5876515), (6.5941234, 2.737261), (3.5400903, 2.7303946)], includedObstacleCornersIndices=set([]))§105918§2.0468187
530§40000012§10.078031§Chromosome(steinerPoints=[(5.1880503, 5.719549), (5.1555905, 3.5987303), (5.155477, 3.5876515), (3.5400903, 2.7303946), (6.7337103, 2.6657426)], includedObstacleCornersIndices=set([]))§110794§2.1220024
563§60000012§10.0749855§Chromosome(steinerPoints=[(6.7337103, 2.6657426), (5.1555905, 3.5987303), (5.155477, 3.5876515), (3.5400903, 2.7303946), (5.2171984, 6.030282)], includedObstacleCornersIndices=set([]))§118431§2.24026
870§180000020§10.073051§Chromosome(steinerPoints=[(5.1555905, 3.5987303), (5.155477, 3.5876515), (6.7337103, 2.6657426), (5.2171984, 6.030282), (3.1284206, 2.5741303)], includedObstacleCornersIndices=set([]))§189876§3.3320067
874§200000020§10.071236§Chromosome(steinerPoints=[(6.7337103, 2.6657426), (5.1555905, 3.5987303), (5.155477, 3.5876515), (5.2171984, 6.030282), (3.326637, 2.6561787)], includedObstacleCornersIndices=set([]))§190801§3.3465576
919§20000010§10.069948§Chromosome(steinerPoints=[(5.1555905, 3.5987303), (5.155477, 3.5876515), (6.7337103, 2.6657426), (3.326637, 2.6561787), (3.2783575, 2.6327684), (5.192874, 6.0452375)], includedObstacleCornersIndices=set([]))§201276§3.53156
991§60000012§10.068842§Chromosome(steinerPoints=[(2.7957778, 2.4988406), (5.1555905, 3.5987303), (5.155477, 3.5876515), (5.192874, 6.0452375), (3.2320805, 2.606566), (3.326637, 2.6561787), (6.745587, 2.6473954)], includedObstacleCornersIndices=set([]))§218029§3.891251
1023§140000020§10.067311§Chromosome(steinerPoints=[(3.2320805, 2.606566), (3.3102908, 2.645568), (5.1555905, 3.5987303), (5.155477, 3.5876515), (6.745587, 2.6473954), (5.1807504, 5.998763)], includedObstacleCornersIndices=set([]))§225537§4.0332503
1524§260000020§10.066806§Chromosome(steinerPoints=[(3.2320805, 2.606566), (3.3102908, 2.645568), (5.155477, 3.5876515), (5.185915, 5.9930778), (5.168445, 3.5799189), (6.745587, 2.6473954)], includedObstacleCornersIndices=set([]))§341844§6.1836805
