generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.0101357§0.6291943§Chromosome(steinerPoints=[(0.29340008, 0.71921235)], includedObstacleCornersIndices=set([]))§674§0.011077416
358§0.71704274§0.62909496§Chromosome(steinerPoints=[(0.30711037, 0.7419824)], includedObstacleCornersIndices=set([]))§71014§0.3541678
365§0.694236§0.6289752§Chromosome(steinerPoints=[(0.29340008, 0.71921235), (0.30711037, 0.7419824), (0.29747063, 0.73880154)], includedObstacleCornersIndices=set([]))§72619§0.3612718
371§0.69559854§0.62861973§Chromosome(steinerPoints=[(0.2896653, 0.73680156), (0.29340008, 0.71921235), (0.29667276, 0.7287663)], includedObstacleCornersIndices=set([]))§73979§0.36842805
372§0.691164§0.62848634§Chromosome(steinerPoints=[(0.2700242, 0.65902776), (0.2896653, 0.73680156), (0.23699075, 0.811331)], includedObstacleCornersIndices=set([]))§74216§0.3697332
376§0.6779743§0.62836623§Chromosome(steinerPoints=[(0.2700242, 0.65902776), (0.23699075, 0.811331), (0.30711037, 0.7419824)], includedObstacleCornersIndices=set([]))§75143§0.37493956
379§0.68442494§0.62823856§Chromosome(steinerPoints=[(0.2896653, 0.73680156), (0.30026612, 0.7252629), (0.23699075, 0.811331)], includedObstacleCornersIndices=set([]))§75831§0.37929738
382§0.6880533§0.6281165§Chromosome(steinerPoints=[(0.2896653, 0.73680156), (0.29340008, 0.71921235), (0.29667276, 0.7287663), (0.23699075, 0.811331)], includedObstacleCornersIndices=set([]))§76527§0.38397613
383§0.6853415§0.62802196§Chromosome(steinerPoints=[(0.29667276, 0.7287663), (0.29340008, 0.71921235), (0.22420084, 0.8208449)], includedObstacleCornersIndices=set([]))§76749§0.38566026
385§0.68225366§0.6277673§Chromosome(steinerPoints=[(0.2700242, 0.65902776), (0.23699075, 0.811331), (0.29903853, 0.734921)], includedObstacleCornersIndices=set([]))§77215§0.38920173
388§0.6817528§0.62766826§Chromosome(steinerPoints=[(0.30711037, 0.7419824), (0.23699075, 0.811331)], includedObstacleCornersIndices=set([]))§77894§0.39462635
399§0.67250663§0.62751234§Chromosome(steinerPoints=[(0.29903853, 0.734921), (0.23699075, 0.811331)], includedObstacleCornersIndices=set([]))§80448§0.4139597
409§0.6865182§0.6268722§Chromosome(steinerPoints=[(0.22781166, 0.8170643), (0.29903853, 0.734921), (0.39984757, 0.760223)], includedObstacleCornersIndices=set([]))§82780§0.4282225
910§0.6691451§0.6268667§Chromosome(steinerPoints=[(0.23699075, 0.811331), (0.39984757, 0.760223), (0.29903853, 0.734921)], includedObstacleCornersIndices=set([]))§199176§1.3096491
