generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9887124§1.9286945§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§669§0.023137191
9§1.9445401§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§2012§0.035892867
510§1.9385108§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§106219§1.3152208
