generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.1433334§2.7292259§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 5, 6]))§670§0.19452126
3§2.8970668§2.7160769§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([12]))§1008§0.20321898
4§2.8546112§2.6541142§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7, 13]))§1177§0.20730482
9§2.7826355§2.6469572§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7]))§2015§0.22634254
12§2.763152§2.6300921§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([7, 13]))§2523§0.23874281
15§2.7293324§2.6229615§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7, 6]))§3032§0.2533503
24§2.672377§2.61726§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§4566§0.29816455
28§2.66229§2.615258§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412), (0.5046899, 0.8362386), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([7]))§5259§0.31991902
29§2.6642678§2.6134179§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.14995065, 0.33265412), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([7]))§5431§0.32555524
40§2.6550486§2.6122913§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.49693203, 0.8248326), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.5366558, 0.7265438), (0.9063096, 0.7126548)], includedObstacleCornersIndices=set([7]))§7344§0.39535812
53§2.6560938§2.610697§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.49693203, 0.8248326), (0.9063096, 0.7126548), (0.5046899, 0.8362386), (0.5366558, 0.7265438), (0.1810815, 0.27210882)], includedObstacleCornersIndices=set([7]))§9610§0.51266825
63§2.6503842§2.606669§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.5366558, 0.7265438), (0.14995065, 0.33265412), (0.1810815, 0.27210882), (0.9063096, 0.7126548), (0.1706293, 0.3255599)], includedObstacleCornersIndices=set([7]))§11396§0.6098736
70§2.653683§2.6062849§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.9063096, 0.7126548), (0.5046899, 0.8362386), (0.5366558, 0.7265438), (0.14995065, 0.33265412), (0.1810815, 0.27210882), (0.1706293, 0.3255599)], includedObstacleCornersIndices=set([7]))§12655§0.6793486
160§2.642592§2.605366§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5366558, 0.7265438), (0.49693203, 0.8248326), (0.5046899, 0.8362386), (0.1810815, 0.27210882), (0.1706293, 0.3255599), (0.1760703, 0.23383059)], includedObstacleCornersIndices=set([7, 6]))§29468§1.6578836
540§2.6282728§2.605079§Chromosome(steinerPoints=[(0.1760703, 0.23383059), (0.9063096, 0.7126548), (0.5366558, 0.7265438), (0.49693203, 0.8248326), (0.1706293, 0.3255599), (0.53991365, 0.72253144)], includedObstacleCornersIndices=set([7]))§113260§5.918721
977§2.6226363§2.603695§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.7439384, 0.7018318), (0.1706293, 0.3255599), (0.1760703, 0.23383059), (0.5292356, 0.7123205), (0.48608285, 0.81301993)], includedObstacleCornersIndices=set([7]))§214762§10.724881
985§2.6207294§2.603196§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.7439384, 0.7018318), (0.1706293, 0.3255599), (0.5292356, 0.7123205), (0.48608285, 0.81301993), (0.1760703, 0.25383058)], includedObstacleCornersIndices=set([7]))§216639§10.808008
1010§2.623779§2.6025288§Chromosome(steinerPoints=[(0.5292356, 0.7123205), (0.7439384, 0.7018318), (0.48608285, 0.81301993), (0.9063096, 0.7126548), (0.1760703, 0.25383058), (0.1683418, 0.33500195)], includedObstacleCornersIndices=set([7]))§222423§11.043674
1511§2.619911§2.6025288§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.7439384, 0.7018318), (0.1760703, 0.25383058), (0.1683418, 0.33500195), (0.5292356, 0.7123205), (0.48608285, 0.81301993)], includedObstacleCornersIndices=set([7]))§338770§15.70762
