generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1339999500§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 7, 0]))§677§0.1399478
2§1219999400§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§844§0.15943165
6§779999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1520§0.19167009
507§1279999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105382§2.6164892
