generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1719999600§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§671§0.0969088
2§1059999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5]))§840§0.10695057
503§1439999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1]))§104731§2.3960671
