generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2040000500§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 0, 5]))§667§0.054827187
3§979999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1, 4]))§1003§0.060831066
504§1540000300§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 4, 0, 1]))§104955§1.0952946
