generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1940000400§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5]))§671§0.054695003
3§779999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0]))§1007§0.05951104
504§1379999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 1, 0]))§105052§1.8039184
