generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1960000000§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§671§0.07098909
4§839999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 5]))§1173§0.08258184
505§1439999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 1]))§104962§1.841918
