generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2580000800§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§671§0.0799224
2§1319999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§839§0.08561691
503§1339999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§104521§1.883084
