generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1600000000§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§670§0.069252945
3§879999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 4]))§1007§0.07767342
504§1379999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§104753§2.020502
