generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1999999600§1.8215339§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 0, 6, 7]))§670§0.0580125
2§819999800§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 5, 0]))§838§0.06674884
14§1139999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 5, 7, 0]))§2860§0.13397437
515§1259999700§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([5, 0, 7, 6]))§107332§3.3839464
