generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2380000300§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§670§0.06898332
5§1059999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 0, 5]))§1341§0.087263435
506§1440000100§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1]))§105381§1.871553
