generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1759999600§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§675§0.085443765
4§1119999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§1182§0.111377545
505§1359999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 5]))§105140§2.2628336
