generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1059999500§1.787618§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 6, 1, 7, 5]))§672§0.059370305
2§719999740§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 5, 7]))§841§0.066406935
15§1039999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([7, 6, 0, 5]))§3046§0.12523104
516§1319999600§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([5, 0, 7, 6]))§107681§2.658073
