generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1999999400§1.8252574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 8, 5, 0]))§673§0.049720354
2§539999940§1.787618§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 0, 6, 5, 1]))§839§0.05273817
4§759999700§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 5, 7]))§1177§0.06101597
16§1079999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 0, 5, 7]))§3204§0.12868667
517§1199999400§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 5, 7, 0]))§107823§3.4248872
