generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2800000300§1.8252574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 8, 0, 7, 5]))§670§0.07087409
2§1079999600§1.787618§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 0, 5, 6, 1]))§839§0.08247168
3§739999740§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 5, 0]))§1005§0.10445915
31§859999600§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([0, 7, 5, 6]))§5764§0.28676987
532§1219999400§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([6, 7, 5, 0]))§111320§4.6494694
