generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2320000800§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§671§0.07460588
5§759999800§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0]))§1340§0.10466796
506§1339999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0]))§105458§2.4788432
