generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2320000500§5.79766§Chromosome(steinerPoints=[(0.5367695, 0.5682105)], includedObstacleCornersIndices=set([7, 6]))§676§0.08336371
3§999999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 5, 0]))§1014§0.08917321
504§1440000100§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§104888§1.6001301
