generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2400000800§6.1227617§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7, 8]))§672§0.05915678
2§1139999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§842§0.061859444
503§1099999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1]))§104735§1.5944502
