generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2260000300§6.6126513§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 8, 6, 5, 0]))§675§0.08044099
2§819999700§6.3807163§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 6, 7]))§842§0.08611366
5§539999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 5]))§1345§0.100738734
506§1419999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105279§1.4551207
