generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2019999100§1.8476181§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 5, 6, 0, 8, 7]))§672§0.06732939
4§679999740§1.8215339§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 7, 8]))§1175§0.08859064
5§739999740§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 6, 7]))§1343§0.09689768
17§919999550§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 5, 0, 7]))§3370§0.13650355
518§1079999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 5, 0, 7]))§108094§3.1716287
