generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2040000800§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5, 1]))§677§0.18211861
2§1339999700§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§847§0.19833928
4§1179999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0]))§1185§0.22807007
505§1119999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0]))§105080§3.4965866
