generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3300004600§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 7]))§668§0.08174356
2§1880000100§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 4, 1, 0]))§839§0.08839566
503§1119999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 4, 5]))§104529§1.8685836
