generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1860000000§6.3418646§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 9]))§672§0.07650432
2§1139999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§840§0.081445485
503§1299999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§104578§1.8962439
