generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2180000300§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§668§0.08147871
3§639999800§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1004§0.09125521
504§1380000000§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§104888§1.9675204
