generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1679999400§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§671§0.11683188
2§1059999550§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5]))§841§0.1245573
503§1319999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 5]))§104650§3.2297606
