generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2040000400§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§670§0.055867538
5§1079999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 0, 5]))§1343§0.07283108
506§1479999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§105376§1.9485183
