generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2240001000§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§671§0.12069819
8§1079999500§5.7639785§Chromosome(steinerPoints=[(1.1761177, 1.7155697)], includedObstacleCornersIndices=set([6, 7]))§1849§0.1573477
509§1239999500§5.7639785§Chromosome(steinerPoints=[(1.1761177, 1.7155697)], includedObstacleCornersIndices=set([6, 7]))§105911§1.7067919
