generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1919999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5, 1]))§671§0.080718555
502§1119999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 1, 4, 0]))§104463§3.0515084
