generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1739999900§6.363984§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 10, 6, 7]))§672§0.20096166
2§1199999400§6.297621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 9, 6]))§838§0.21776891
3§739999740§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 1, 4, 5]))§1006§0.22426236
4§879999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 4, 0]))§1177§0.2346571
505§1480000300§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 1, 0]))§105117§3.087017
