generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1539999500§6.3807163§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 7]))§671§0.06762253
2§899999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5, 1]))§840§0.07252972
503§1279999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 0, 4, 5]))§104781§2.1199906
