generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2740002300§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§676§0.111919135
4§799999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1]))§1180§0.12650715
505§1319999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 1]))§105136§2.7184865
