generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2039999200§1.8492793§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 5]))§675§0.046789806
2§759999740§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5, 6]))§841§0.050007217
16§939999550§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([7, 0, 5, 6]))§3215§0.090105504
517§1259999600§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([5, 0, 7, 6]))§107840§3.21911
