generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1199999600§1.8492793§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 5]))§677§0.044581126
2§539999800§1.8215339§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 0, 8, 6]))§847§0.050657947
3§779999700§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 0, 5, 7]))§1015§0.05655761
8§799999700§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([5, 0, 7, 6]))§1857§0.0783796
509§899999600§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([5, 0, 7, 6]))§105959§2.351159
