generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2000000100§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§675§0.07340404
3§1219999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1013§0.0829512
504§1419999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§104832§2.0064797
