generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1920000400§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§670§0.09217372
2§999999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 0, 5]))§838§0.10684416
503§1159999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 1]))§104463§1.8977358
