generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1500000000§5.700917§Chromosome(steinerPoints=[(0.92580754, 0.34825516)], includedObstacleCornersIndices=set([5, 0, 4]))§672§0.08911545
2§839999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§839§0.09468225
503§1659999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4, 1]))§104523§1.9717889
