generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2000000300§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1, 7]))§672§0.07559578
2§979999550§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§843§0.08126153
3§799999740§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1010§0.085815504
504§1499999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§104921§1.948225
