generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1779999200§1.787618§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 5, 1, 0, 7]))§675§0.10821005
5§599999800§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 5, 0, 7]))§1342§0.15175451
15§1139999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 5, 0, 7]))§3037§0.26476914
516§1459999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([7, 0, 5, 6]))§107581§5.247952
