generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1980000600§6.3418646§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 9]))§677§0.07811046
2§1039999550§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§846§0.08401231
5§859999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§1347§0.11457262
506§1439999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 1]))§105505§3.087802
