generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1819999600§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§676§0.08841671
4§999999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1179§0.1384122
505§1499999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105170§1.6242977
