generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2320000800§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 7]))§672§0.09577922
4§959999550§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1]))§1179§0.10914765
505§1560000400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105395§2.8761744
