generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2600000000§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§674§0.045418173
5§839999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5]))§1354§0.05426005
506§1159999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([4, 0, 5]))§105516§1.1694068
