generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2440000800§6.6126513§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 8, 5, 6]))§670§0.105594665
2§1059999500§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§837§0.112078466
5§579999800§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1342§0.12911955
506§1339999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105269§2.0251572
