generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2799999700§1.787618§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 6, 0, 1, 7]))§669§0.06935244
4§759999700§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 6, 0, 7]))§1171§0.08783749
14§799999700§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([7, 6, 5, 0]))§2864§0.13731718
515§1279999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([5, 0, 7, 6]))§107323§3.5764518
