generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1860000400§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§672§0.08157457
2§1159999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 5, 0]))§841§0.08511784
503§1499999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 1]))§104533§1.5805578
