generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1919999900§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§673§0.07395435
3§759999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§1007§0.083812974
504§1159999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§104778§2.3630493
