generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2260001000§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§670§0.076874405
3§999999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§1006§0.08633818
504§1399999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 1]))§104917§1.8332577
