generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2500000000§1.9877466§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 1, 0, 5, 4, 8, 6]))§673§0.08287096
2§619999940§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 5, 0, 7]))§841§0.09029813
10§879999600§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 0, 5, 7]))§2190§0.18172817
511§1459999900§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 7, 0, 5]))§106567§3.7195935
