generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1999999600§1.8215339§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([8, 0, 7, 6]))§671§0.05637588
4§819999700§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6, 0, 5]))§1173§0.07411135
18§1379999600§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 0, 5, 7]))§3560§0.1346499
519§1399999700§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([5, 7, 0, 6]))§108269§3.5959628
