generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2460001000§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§670§0.051480375
7§1419999200§5.7639785§Chromosome(steinerPoints=[(1.1761177, 1.7155697)], includedObstacleCornersIndices=set([6, 7]))§1690§0.06410069
508§1079999500§5.7639785§Chromosome(steinerPoints=[(1.1761177, 1.7155697)], includedObstacleCornersIndices=set([6, 7]))§105769§1.2636776
