generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1679999100§1.8438946§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 1, 8, 0, 7]))§675§0.08788062
3§679999740§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 5, 0, 7]))§1015§0.10409278
9§759999700§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 5, 0, 7]))§2022§0.15648411
510§1480000000§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 7, 5, 0]))§106317§3.2540267
