generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2480001800§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5]))§673§0.08718847
2§1179999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5]))§839§0.09288941
503§1439999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§104617§1.9949275
