generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1780000900§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§673§0.0699165
5§819999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 0, 1]))§1345§0.0867358
506§1559999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 1, 0]))§105007§1.5260512
