generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2240000800§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§673§0.08554839
4§899999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§1180§0.099036455
505§1459999900§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§105109§1.6842792
