generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1039999740§1.8438946§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 1, 6, 8, 7]))§677§0.07024009
2§539999900§1.8252574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5, 8, 6]))§846§0.07745431
3§559999900§1.7652574§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5, 6]))§1015§0.08441967
24§1139999500§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.3528987)], includedObstacleCornersIndices=set([7, 0, 5, 6]))§4577§0.1420764
525§1279999400§1.7648978§Chromosome(steinerPoints=[(0.6128839, 0.35289866)], includedObstacleCornersIndices=set([6, 5, 7, 0]))§109671§2.9725432
