generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2420000800§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 7, 0]))§670§0.07629863
2§1199999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 4, 5]))§836§0.08226595
503§1379999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5]))§104537§2.604982
