generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§60000024§14.924971§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0]))§672§0.034014426
7§16.345173§14.764235§Chromosome(steinerPoints=[(5.0539637, 6.9060874)], includedObstacleCornersIndices=set([2, 0]))§1680§0.045582402
10§20000016§14.67829§Chromosome(steinerPoints=[(5.0539637, 6.9060874)], includedObstacleCornersIndices=set([0]))§2185§0.05076956
20§15.456574§14.592683§Chromosome(steinerPoints=[(5.0539637, 6.9060874), (3.534823, 2.7972777)], includedObstacleCornersIndices=set([0]))§3897§0.06884238
521§40000012§14.592683§Chromosome(steinerPoints=[(5.0539637, 6.9060874), (3.534823, 2.7972777)], includedObstacleCornersIndices=set([0]))§108748§1.6122072
