generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1939999500§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 7]))§673§0.059585575
7§1159999500§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 4]))§1682§0.08300079
508§1419999600§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 1, 0]))§105916§1.6481502
