generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1959999400§2.298016§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 3, 1, 4]))§670§0.036790475
5§719999740§2.2872844§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 3, 6]))§1341§0.046614468
506§1219999400§2.2872844§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3, 6, 1]))§105139§0.90821445
