generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2060000100§5.797621§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 6]))§674§0.064900346
3§1239999400§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([5, 4, 0]))§1013§0.06909455
504§1439999700§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 5, 1]))§104979§1.8047485
